date,average
2020-01-01,58871
2020-01-02,68264
2020-01-03,69580
2020-01-04,62679
2020-01-05,58624
2020-01-06,70748
2020-01-07,70783
2020-01-08,70425
2020-01-09,70719
2020-01-10,70378
2020-01-11,63138
2020-01-12,59201
2020-01-13,70325
2020-01-14,72582
2020-01-15,72531
2020-01-16,72767
2020-01-17,71727
2020-01-18,63875
2020-01-19,60502
2020-01-20,69574
2020-01-21,71248
2020-01-22,71997
2020-01-23,65834
2020-01-24,53330
2020-01-25,49252
2020-01-26,50261
2020-01-27,54784
2020-01-28,63577
2020-01-29,67120
2020-01-30,67246
2020-01-31,67549
2020-02-01,61175
2020-02-02,56914
2020-02-03,67675
2020-02-04,70144
2020-02-05,72334
2020-02-06,73411
2020-02-07,71286
2020-02-08,62191
2020-02-09,57643
2020-02-10,66523
2020-02-11,67412
2020-02-12,68410
2020-02-13,66597
2020-02-14,64583
2020-02-15,58277
2020-02-16,57961
2020-02-17,70988
2020-02-18,71324
2020-02-19,69835
2020-02-20,67280
2020-02-21,66213
2020-02-22,58710
2020-02-23,55153
2020-02-24,63491
2020-02-25,67413
2020-02-26,64940
2020-02-27,64482
2020-02-28,66625
2020-02-29,57536
2020-03-01,54631
2020-03-02,62673
2020-03-03,64551
2020-03-04,65116
2020-03-05,65636
2020-03-06,64793
2020-03-07,59067
2020-03-08,52627
2020-03-09,62575
2020-03-10,66248
2020-03-11,64349
2020-03-12,64067
2020-03-13,63561
2020-03-14,57092
2020-03-15,53739
2020-03-16,62714
2020-03-17,64358
2020-03-18,61892
2020-03-19,62448
2020-03-20,61105
2020-03-21,54564
2020-03-22,50142
2020-03-23,58528
2020-03-24,60091
2020-03-25,60053
2020-03-26,61601
2020-03-27,60746
2020-03-28,54698
2020-03-29,50260
2020-03-30,57601
2020-03-31,59093
2020-04-01,59928
2020-04-02,59882
2020-04-03,59020
2020-04-04,52946
2020-04-05,49800
2020-04-06,57921
2020-04-07,59284
2020-04-08,59121
2020-04-09,59601
2020-04-10,59518
2020-04-11,54089
2020-04-12,51180
2020-04-13,58128
2020-04-14,58610
2020-04-15,54962
2020-04-16,57276
2020-04-17,59860
2020-04-18,51743
2020-04-19,51292
2020-04-20,58183
2020-04-21,58801
2020-04-22,59715
2020-04-23,59392
2020-04-24,58270
2020-04-25,51763
2020-04-26,48308
2020-04-27,56109
2020-04-28,56885
2020-04-29,55861
2020-04-30,51299
2020-05-01,48436
2020-05-02,48479
2020-05-03,48442
2020-05-04,51496
2020-05-05,51842
2020-05-06,55220
2020-05-07,56649
2020-05-08,56369
2020-05-09,53034
2020-05-10,49339
2020-05-11,54909
2020-05-12,56828
2020-05-13,56296
2020-05-14,57064
2020-05-15,58497
2020-05-16,51829
2020-05-17,48471
2020-05-18,56789
2020-05-19,57769
2020-05-20,56396
2020-05-21,56003
2020-05-22,55873
2020-05-23,50394
2020-05-24,48897
2020-05-25,55883
2020-05-26,57128
2020-05-27,56125
2020-05-28,56292
2020-05-29,55934
2020-05-30,50694
2020-05-31,47949
2020-06-01,55159
2020-06-02,57645
2020-06-03,59138
2020-06-04,59935
2020-06-05,59492
2020-06-06,52924
2020-06-07,49371
2020-06-08,59297
2020-06-09,62692
