,prediction
2024-01-01,65900
2024-01-02,63818
2024-01-03,69095
2024-01-04,72412
2024-01-05,62252
2024-01-06,55045
2024-01-07,70041
2024-01-08,73967
2024-01-09,69173
2024-01-10,66399
2024-01-11,65964
2024-01-12,65201
2024-01-13,62169
2024-01-14,71576
2024-01-15,73693
2024-01-16,72383
2024-01-17,69876
2024-01-18,65529
2024-01-19,64242
2024-01-20,65431
2024-01-21,71706
2024-01-22,71196
2024-01-23,73178
2024-01-24,64915
2024-01-25,48543
2024-01-26,54365
2024-01-27,61785
2024-01-28,59631
2024-01-29,64918
2024-01-30,66796
2024-01-31,61559
2024-02-01,60786
2024-02-02,58387
2024-02-03,57929
2024-02-04,70134
2024-02-05,70270
2024-02-06,70155
2024-02-07,71117
2024-02-08,65058
2024-02-09,60203
2024-02-10,61962
2024-02-11,70734
2024-02-12,68592
2024-02-13,69368
2024-02-14,66530
2024-02-15,59689
2024-02-16,58775
2024-02-17,63533
2024-02-18,73464
2024-02-19,68774
2024-02-20,67468
2024-02-21,65804
2024-02-22,61090
2024-02-23,59941
2024-02-24,61680
2024-02-25,66898
2024-02-26,66983
2024-02-27,65783
2024-02-28,64039
2024-02-29,61585
2024-03-01,56475
2024-03-02,59898
2024-03-03,65979
2024-03-04,62619
2024-03-05,66373
2024-03-06,66301
2024-03-07,58189
2024-03-08,57345
2024-03-09,58298
2024-03-10,65265
2024-03-11,65336
2024-03-12,64580
2024-03-13,64463
2024-03-14,57774
2024-03-15,55437
2024-03-16,60187
2024-03-17,65845
2024-03-18,61877
2024-03-19,62209
2024-03-20,63922
2024-03-21,56025
2024-03-22,53294
2024-03-23,57109
2024-03-24,61877
2024-03-25,58513
2024-03-26,61206
2024-03-27,62938
2024-03-28,54465
2024-03-29,52406
2024-03-30,55966
2024-03-31,60081
2024-04-01,57595
2024-04-02,61355
2024-04-03,61055
2024-04-04,53003
2024-04-05,51425
2024-04-06,55436
2024-04-07,60535
2024-04-08,57446
2024-04-09,59636
2024-04-10,60304
2024-04-11,53914
2024-04-12,52498
2024-04-13,56151
2024-04-14,60041
2024-04-15,56649
2024-04-16,56031
2024-04-17,59154
2024-04-18,56090
2024-04-19,50064
2024-04-20,55919
2024-04-21,59940
2024-04-22,55415
2024-04-23,60988
2024-04-24,60062
2024-04-25,51978
2024-04-26,51092
2024-04-27,54285
2024-04-28,58561
2024-04-29,55687
2024-04-30,57311
2024-05-01,52441
2024-05-02,44373
2024-05-03,50625
2024-05-04,55310
2024-05-05,52134
2024-05-06,49113
2024-05-07,55992
2024-05-08,56976
2024-05-09,51133
2024-05-10,50719
2024-05-11,51457
2024-05-12,55922
2024-05-13,56339
2024-05-14,56372
2024-05-15,57005
2024-05-16,54902
2024-05-17,50213
2024-05-18,51382
2024-05-19,59390
2024-05-20,56828
2024-05-21,56142
2024-05-22,56487
2024-05-23,51977
2024-05-24,49817
2024-05-25,53654
2024-05-26,58049
2024-05-27,55124
2024-05-28,56249
2024-05-29,56643
2024-05-30,51570
2024-05-31,49842
2024-06-01,52647
2024-06-02,57220
